institution,date,entrees,day,month,year,week,sumentrees
llem,23/01/2019,447,23,01,2019,4,40507
llem,24/01/2019,1109,24,01,2019,4,41616
llem,25/01/2019,619,25,01,2019,4,42235
llem,26/01/2019,58,26,01,2019,4,42293
llem,27/01/2019,0,27,01,2019,4,42293
llem,28/01/2019,1058,28,01,2019,5,43351
mdc,01/11/2018,6354,01,11,2018,44,6354
mdc,02/11/2018,5576,02,11,2018,44,11930
mdc,03/11/2018,5677,03,11,2018,44,17607
mdc,04/11/2018,4095,04,11,2018,44,21702
mdc,05/11/2018,0,05,11,2018,45,21702
mdc,06/11/2018,1751,06,11,2018,45,23453
mdc,07/11/2018,1652,07,11,2018,45,25105
mdc,08/11/2018,1967,08,11,2018,45,27072
mdc,09/11/2018,1942,09,11,2018,45,29014
mdc,10/11/2018,4296,10,11,2018,45,33310
mdc,11/11/2018,3153,11,11,2018,45,36463
mdc,12/11/2018,0,12,11,2018,46,36463
mdc,13/11/2018,2364,13,11,2018,46,38827
mdc,14/11/2018,1288,14,11,2018,46,40115
mdc,15/11/2018,1779,15,11,2018,46,41894
mdc,16/11/2018,1675,16,11,2018,46,43569
mdc,17/11/2018,3250,17,11,2018,46,46819
mdc,18/11/2018,3549,18,11,2018,46,50368
mdc,19/11/2018,0,19,11,2018,47,50368
mdc,20/11/2018,1630,20,11,2018,47,51998
mdc,21/11/2018,1593,21,11,2018,47,53591
mdc,22/11/2018,2114,22,11,2018,47,55705
mdc,23/11/2018,2711,23,11,2018,47,58416
mdc,24/11/2018,6521,24,11,2018,47,64937
mdc,25/11/2018,7861,25,11,2018,47,72798
mdc,26/11/2018,0,26,11,2018,48,72798
mdc,27/11/2018,1383,27,11,2018,48,74181
mdc,28/11/2018,1158,28,11,2018,48,75339
mdc,29/11/2018,3140,29,11,2018,48,78479
mdc,30/11/2018,1545,30,11,2018,48,80024
mdc,01/12/2018,2834,01,12,2018,48,82858
mdc,02/12/2018,4256,02,12,2018,48,87114
mdc,03/12/2018,0,03,12,2018,49,87114
mdc,04/12/2018,1755,04,12,2018,49,88869
mdc,05/12/2018,1046,05,12,2018,49,89915
mdc,06/12/2018,2586,06,12,2018,49,92501
mdc,07/12/2018,3809,07,12,2018,49,96310
mdc,08/12/2018,5468,08,12,2018,49,101778
mdc,09/12/2018,5013,09,12,2018,49,106791
mdc,10/12/2018,19,10,12,2018,50,106810
mdc,11/12/2018,1714,11,12,2018,50,108524
mdc,12/12/2018,967,12,12,2018,50,109491
mdc,13/12/2018,2133,13,12,2018,50,111624
mdc,14/12/2018,1510,14,12,2018,50,113134
mdc,15/12/2018,2473,15,12,2018,50,115607
mdc,16/12/2018,2653,16,12,2018,50,118260
mdc,17/12/2018,53,17,12,2018,51,118313
mdc,18/12/2018,1682,18,12,2018,51,119995
mdc,19/12/2018,1462,19,12,2018,51,121457
mdc,20/12/2018,1942,20,12,2018,51,123399
mdc,21/12/2018,1179,21,12,2018,51,124578
mdc,22/12/2018,3548,22,12,2018,51,128126
mdc,23/12/2018,5113,23,12,2018,51,133239
mdc,24/12/2018,0,24,12,2018,52,133239
mdc,25/12/2018,1,25,12,2018,52,133240
mdc,26/12/2018,7841,26,12,2018,52,141081
mdc,27/12/2018,11258,27,12,2018,52,152339
mdc,28/12/2018,9676,28,12,2018,52,162015
mdc,29/12/2018,9130,29,12,2018,52,171145
mdc,30/12/2018,11488,30,12,2018,52,182633
mdc,31/12/2018,3,31,12,2018,1,182636
mdc,01/01/2019,0,01,01,2019,1,182636
mdc,02/01/2019,9700,02,01,2019,1,192336
mdc,03/01/2019,7191,03,01,2019,1,199527
mdc,04/01/2019,4454,04,01,2019,1,203981
mdc,05/01/2019,4721,05,01,2019,1,208702
mdc,06/01/2019,3713,06,01,2019,1,212415
mdc,07/01/2019,2,07,01,2019,2,212417
mdc,08/01/2019,1313,08,01,2019,2,213730
mdc,09/01/2019,1128,09,01,2019,2,214858
mdc,10/01/2019,2226,10,01,2019,2,217084
mdc,11/01/2019,2243,11,01,2019,2,219327
mdc,12/01/2019,3615,12,01,2019,2,222942
mdc,13/01/2019,4673,13,01,2019,2,227615
mdc,14/01/2019,6,14,01,2019,3,227621
mdc,15/01/2019,1871,15,01,2019,3,229492
mdc,16/01/2019,1590,16,01,2019,3,231082
mdc,17/01/2019,1588,17,01,2019,3,232670
mdc,18/01/2019,1362,18,01,2019,3,234032
mdc,19/01/2019,0,19,01,2019,3,234032
mdc,20/01/2019,4708,20,01,2019,3,238740
mdc,21/01/2019,0,21,01,2019,4,238740
mdc,22/01/2019,0,22,01,2019,4,238740
mdc,23/01/2019,0,23,01,2019,4,238740
mdc,24/01/2019,0,24,01,2019,4,238740
mdc,25/01/2019,899,25,01,2019,4,239639
mdc,26/01/2019,0,26,01,2019,4,239639
mdc,27/01/2019,0,27,01,2019,4,239639
mdc,28/01/2019,0,28,01,2019,5,239639
mlel,01/11/2018,0,01,11,2018,44,0
mlel,02/11/2018,327,02,11,2018,44,327
mlel,03/11/2018,204,03,11,2018,44,531
mlel,04/11/2018,0,04,11,2018,44,531
mlel,05/11/2018,314,05,11,2018,45,845
mlel,06/11/2018,416,06,11,2018,45,1261
mlel,07/11/2018,356,07,11,2018,45,1617
mlel,08/11/2018,140,08,11,2018,45,1757
mlel,09/11/2018,290,09,11,2018,45,2047
mlel,10/11/2018,0,10,11,2018,45,2047
mlel,11/11/2018,0,11,11,2018,45,2047
mlel,12/11/2018,347,12,11,2018,46,2394
mlel,13/11/2018,317,13,11,2018,46,2711
mlel,14/11/2018,235,14,11,2018,46,2946
mlel,15/11/2018,457,15,11,2018,46,3403
mlel,16/11/2018,544,16,11,2018,46,3947
mlel,17/11/2018,70,17,11,2018,46,4017
mlel,18/11/2018,0,18,11,2018,46,4017
mlel,19/11/2018,334,19,11,2018,47,4351
mlel,20/11/2018,376,20,11,2018,47,4727
mlel,21/11/2018,333,21,11,2018,47,5060
mlel,22/11/2018,312,22,11,2018,47,5372
mlel,23/11/2018,149,23,11,2018,47,5521
mlel,24/11/2018,0,24,11,2018,47,5521
mlel,25/11/2018,0,25,11,2018,47,5521
mlel,26/11/2018,182,26,11,2018,48,5703
mlel,27/11/2018,427,27,11,2018,48,6130
mlel,28/11/2018,191,28,11,2018,48,6321
mlel,29/11/2018,281,29,11,2018,48,6602
mlel,30/11/2018,472,30,11,2018,48,7074
mlel,01/12/2018,0,01,12,2018,48,7074
mlel,02/12/2018,0,02,12,2018,48,7074
mlel,03/12/2018,308,03,12,2018,49,7382
mlel,04/12/2018,541,04,12,2018,49,7923
mlel,05/12/2018,277,05,12,2018,49,8200
mlel,06/12/2018,295,06,12,2018,49,8495
mlel,07/12/2018,240,07,12,2018,49,8735
mlel,08/12/2018,0,08,12,2018,49,8735
mlel,09/12/2018,0,09,12,2018,49,8735
mlel,10/12/2018,196,10,12,2018,50,8931
mlel,11/12/2018,221,11,12,2018,50,9152
mlel,12/12/2018,171,12,12,2018,50,9323
mlel,13/12/2018,147,13,12,2018,50,9470
mlel,14/12/2018,171,14,12,2018,50,9641
mlel,15/12/2018,0,15,12,2018,50,9641
mlel,16/12/2018,0,16,12,2018,50,9641
mlel,17/12/2018,83,17,12,2018,51,9724
mlel,18/12/2018,241,18,12,2018,51,9965
mlel,19/12/2018,286,19,12,2018,51,10251
mlel,20/12/2018,308,20,12,2018,51,10559
mlel,21/12/2018,175,21,12,2018,51,10734
mlel,22/12/2018,0,22,12,2018,51,10734
mlel,23/12/2018,0,23,12,2018,51,10734
mlel,24/12/2018,0,24,12,2018,52,10734
mlel,25/12/2018,0,25,12,2018,52,10734
mlel,26/12/2018,0,26,12,2018,52,10734
mlel,27/12/2018,0,27,12,2018,52,10734
mlel,28/12/2018,0,28,12,2018,52,10734
mlel,29/12/2018,0,29,12,2018,52,10734
mlel,30/12/2018,0,30,12,2018,52,10734
mlel,31/12/2018,0,31,12,2018,1,10734
mlel,01/01/2019,0,01,01,2019,1,10734
mlel,02/01/2019,0,02,01,2019,1,10734
mlel,03/01/2019,28,03,01,2019,1,10762
mlel,04/01/2019,15,04,01,2019,1,10777
mlel,05/01/2019,0,05,01,2019,1,10777
mlel,06/01/2019,0,06,01,2019,1,10777
mlel,07/01/2019,139,07,01,2019,2,10916
mlel,08/01/2019,226,08,01,2019,2,11142
mlel,09/01/2019,175,09,01,2019,2,11317
mlel,10/01/2019,71,10,01,2019,2,11388
mlel,11/01/2019,41,11,01,2019,2,11429
mlel,12/01/2019,0,12,01,2019,2,11429
mlel,13/01/2019,0,13,01,2019,2,11429
mlel,14/01/2019,191,14,01,2019,3,11620
mlel,15/01/2019,141,15,01,2019,3,11761
mlel,16/01/2019,340,16,01,2019,3,12101
mlel,17/01/2019,221,17,01,2019,3,12322
mlel,18/01/2019,319,18,01,2019,3,12641
mlel,19/01/2019,0,19,01,2019,3,12641
mlel,20/01/2019,0,20,01,2019,3,12641
mlel,21/01/2019,293,21,01,2019,4,12934
mlel,22/01/2019,332,22,01,2019,4,13266
mlel,23/01/2019,105,23,01,2019,4,13371
mlel,24/01/2019,326,24,01,2019,4,13697
mlel,25/01/2019,138,25,01,2019,4,13835
mlel,26/01/2019,0,26,01,2019,4,13835
mlel,27/01/2019,0,27,01,2019,4,13835
mlel,28/01/2019,287,28,01,2019,5,14122
spl,01/11/2018,0,01,11,2018,44,0
spl,02/11/2018,82,02,11,2018,44,82
spl,03/11/2018,0,03,11,2018,44,82
spl,04/11/2018,0,04,11,2018,44,82
spl,05/11/2018,799,05,11,2018,45,881
spl,06/11/2018,973,06,11,2018,45,1854
spl,07/11/2018,887,07,11,2018,45,2741
spl,08/11/2018,803,08,11,2018,45,3544
spl,09/11/2018,443,09,11,2018,45,3987
spl,10/11/2018,0,10,11,2018,45,3987
spl,11/11/2018,0,11,11,2018,45,3987
spl,12/11/2018,967,12,11,2018,46,4954
spl,13/11/2018,995,13,11,2018,46,5949
spl,14/11/2018,1116,14,11,2018,46,7065
spl,15/11/2018,839,15,11,2018,46,7904
spl,16/11/2018,565,16,11,2018,46,8469
spl,17/11/2018,0,17,11,2018,46,8469
spl,18/11/2018,0,18,11,2018,46,8469
spl,19/11/2018,835,19,11,2018,47,9304
spl,20/11/2018,917,20,11,2018,47,10221
spl,21/11/2018,882,21,11,2018,47,11103
spl,22/11/2018,715,22,11,2018,47,11818
spl,23/11/2018,431,23,11,2018,47,12249
spl,24/11/2018,0,24,11,2018,47,12249
spl,25/11/2018,0,25,11,2018,47,12249
spl,26/11/2018,844,26,11,2018,48,13093
spl,27/11/2018,921,27,11,2018,48,14014
spl,28/11/2018,884,28,11,2018,48,14898
spl,29/11/2018,848,29,11,2018,48,15746
spl,30/11/2018,442,30,11,2018,48,16188
spl,01/12/2018,0,01,12,2018,48,16188
spl,02/12/2018,0,02,12,2018,48,16188
spl,03/12/2018,882,03,12,2018,49,17070
spl,04/12/2018,1066,04,12,2018,49,18136
spl,05/12/2018,862,05,12,2018,49,18998
spl,06/12/2018,764,06,12,2018,49,19762
spl,07/12/2018,592,07,12,2018,49,20354
spl,08/12/2018,0,08,12,2018,49,20354
spl,09/12/2018,0,09,12,2018,49,20354
spl,10/12/2018,912,10,12,2018,50,21266
spl,11/12/2018,1086,11,12,2018,50,22352
spl,12/12/2018,926,12,12,2018,50,23278
spl,13/12/2018,987,13,12,2018,50,24265
spl,14/12/2018,618,14,12,2018,50,24883
spl,15/12/2018,0,15,12,2018,50,24883
spl,16/12/2018,0,16,12,2018,50,24883
spl,17/12/2018,839,17,12,2018,51,25722
spl,18/12/2018,913,18,12,2018,51,26635
spl,19/12/2018,711,19,12,2018,51,27346
spl,20/12/2018,592,20,12,2018,51,27938
spl,21/12/2018,184,21,12,2018,51,28122
spl,22/12/2018,0,22,12,2018,51,28122
spl,23/12/2018,0,23,12,2018,51,28122
spl,24/12/2018,0,24,12,2018,52,28122
spl,25/12/2018,0,25,12,2018,52,28122
spl,26/12/2018,0,26,12,2018,52,28122
spl,27/12/2018,0,27,12,2018,52,28122
spl,28/12/2018,0,28,12,2018,52,28122
spl,29/12/2018,0,29,12,2018,52,28122
spl,30/12/2018,0,30,12,2018,52,28122
spl,31/12/2018,0,31,12,2018,1,28122
spl,01/01/2019,0,01,01,2019,1,28122
spl,02/01/2019,0,02,01,2019,1,28122
spl,03/01/2019,107,03,01,2019,1,28229
spl,04/01/2019,81,04,01,2019,1,28310
spl,05/01/2019,0,05,01,2019,1,28310
spl,06/01/2019,0,06,01,2019,1,28310
spl,07/01/2019,428,07,01,2019,2,28738
spl,08/01/2019,425,08,01,2019,2,29163
spl,09/01/2019,355,09,01,2019,2,29518
spl,10/01/2019,354,10,01,2019,2,29872
spl,11/01/2019,311,11,01,2019,2,30183
spl,12/01/2019,0,12,01,2019,2,30183
spl,13/01/2019,0,13,01,2019,2,30183
spl,14/01/2019,471,14,01,2019,3,30654
spl,15/01/2019,383,15,01,2019,3,31037
spl,16/01/2019,409,16,01,2019,3,31446
spl,17/01/2019,343,17,01,2019,3,31789
spl,18/01/2019,191,18,01,2019,3,31980
spl,19/01/2019,0,19,01,2019,3,31980
spl,20/01/2019,0,20,01,2019,3,31980
spl,21/01/2019,473,21,01,2019,4,32453
spl,22/01/2019,562,22,01,2019,4,33015
spl,23/01/2019,500,23,01,2019,4,33515
spl,24/01/2019,441,24,01,2019,4,33956
spl,25/01/2019,188,25,01,2019,4,34144
spl,26/01/2019,0,26,01,2019,4,34144
spl,27/01/2019,0,27,01,2019,4,34144
spl,28/01/2019,589,28,01,2019,5,34733
ysl,01/11/2018,1401,01,11,2018,44,1401
ysl,02/11/2018,2021,02,11,2018,44,3422
ysl,03/11/2018,1506,03,11,2018,44,4928
ysl,04/11/2018,1196,04,11,2018,44,6124
ysl,05/11/2018,0,05,11,2018,45,6124
ysl,06/11/2018,791,06,11,2018,45,6915
ysl,07/11/2018,576,07,11,2018,45,7491
ysl,08/11/2018,808,08,11,2018,45,8299
ysl,09/11/2018,855,09,11,2018,45,9154
ysl,10/11/2018,1466,10,11,2018,45,10620
ysl,11/11/2018,1144,11,11,2018,45,11764
ysl,12/11/2018,0,12,11,2018,46,11764
ysl,13/11/2018,799,13,11,2018,46,12563
ysl,14/11/2018,564,14,11,2018,46,13127
ysl,15/11/2018,788,15,11,2018,46,13915
ysl,16/11/2018,1154,16,11,2018,46,15069
ysl,17/11/2018,1331,17,11,2018,46,16400
ysl,18/11/2018,1262,18,11,2018,46,17662
ysl,19/11/2018,0,19,11,2018,47,17662
ysl,20/11/2018,861,20,11,2018,47,18523
ysl,21/11/2018,687,21,11,2018,47,19210
ysl,22/11/2018,814,22,11,2018,47,20024
ysl,23/11/2018,1180,23,11,2018,47,21204
ysl,24/11/2018,1149,24,11,2018,47,22353
ysl,25/11/2018,1338,25,11,2018,47,23691
ysl,26/11/2018,0,26,11,2018,48,23691
ysl,27/11/2018,963,27,11,2018,48,24654
ysl,28/11/2018,793,28,11,2018,48,25447
ysl,29/11/2018,735,29,11,2018,48,26182
ysl,30/11/2018,1272,30,11,2018,48,27454
ysl,01/12/2018,989,01,12,2018,48,28443
ysl,02/12/2018,1181,02,12,2018,48,29624
ysl,03/12/2018,0,03,12,2018,49,29624
ysl,04/12/2018,884,04,12,2018,49,30508
ysl,05/12/2018,607,05,12,2018,49,31115
ysl,06/12/2018,739,06,12,2018,49,31854
ysl,07/12/2018,1104,07,12,2018,49,32958
ysl,08/12/2018,0,08,12,2018,49,32958
ysl,09/12/2018,803,09,12,2018,49,33761
ysl,10/12/2018,0,10,12,2018,50,33761
ysl,11/12/2018,765,11,12,2018,50,34526
ysl,12/12/2018,623,12,12,2018,50,35149
ysl,13/12/2018,615,13,12,2018,50,35764
ysl,14/12/2018,1012,14,12,2018,50,36776
ysl,15/12/2018,0,15,12,2018,50,36776
ysl,16/12/2018,977,16,12,2018,50,37753
ysl,17/12/2018,0,17,12,2018,51,37753
ysl,18/12/2018,609,18,12,2018,51,38362
ysl,19/12/2018,606,19,12,2018,51,38968
ysl,20/12/2018,503,20,12,2018,51,39471
ysl,21/12/2018,611,21,12,2018,51,40082
ysl,22/12/2018,665,22,12,2018,51,40747
ysl,23/12/2018,897,23,12,2018,51,41644
ysl,24/12/2018,0,24,12,2018,52,41644
ysl,25/12/2018,0,25,12,2018,52,41644
ysl,26/12/2018,1148,26,12,2018,52,42792
ysl,27/12/2018,1346,27,12,2018,52,44138
ysl,28/12/2018,1806,28,12,2018,52,45944
ysl,29/12/2018,1283,29,12,2018,52,47227
ysl,30/12/2018,1368,30,12,2018,52,48595
ysl,31/12/2018,0,31,12,2018,1,48595
ysl,01/01/2019,0,01,01,2019,1,48595
ysl,02/01/2019,1435,02,01,2019,1,50030
ysl,03/01/2019,1414,03,01,2019,1,51444
ysl,04/01/2019,1776,04,01,2019,1,53220
ysl,05/01/2019,1360,05,01,2019,1,54580
ysl,06/01/2019,1183,06,01,2019,1,55763
ysl,07/01/2019,0,07,01,2019,2,55763
ysl,08/01/2019,731,08,01,2019,2,56494
ysl,09/01/2019,704,09,01,2019,2,57198
ysl,10/01/2019,720,10,01,2019,2,57918
ysl,11/01/2019,1079,11,01,2019,2,58997
ysl,12/01/2019,1238,12,01,2019,2,60235
ysl,13/01/2019,1529,13,01,2019,2,61764
ysl,14/01/2019,0,14,01,2019,3,61764
ysl,15/01/2019,871,15,01,2019,3,62635
ysl,16/01/2019,939,16,01,2019,3,63574
ysl,17/01/2019,1068,17,01,2019,3,64642
ysl,18/01/2019,1743,18,01,2019,3,66385
ysl,19/01/2019,1446,19,01,2019,3,67831
ysl,20/01/2019,1661,20,01,2019,3,69492
ysl,21/01/2019,0,21,01,2019,4,69492
ysl,22/01/2019,1378,22,01,2019,4,70870
ysl,23/01/2019,1320,23,01,2019,4,72190
ysl,24/01/2019,1257,24,01,2019,4,73447
ysl,25/01/2019,2100,25,01,2019,4,75547
ysl,26/01/2019,1614,26,01,2019,4,77161
ysl,27/01/2019,1515,27,01,2019,4,78676
ysl,28/01/2019,0,28,01,2019,5,78676
